"Kyn";"Aldursflokkur/Buseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Karlar";"Hofudborgarsvaedi 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";20200;21600;22000;23500;24300;23300;22500;22900;21700;21200;21800
"Karlar";"Hofudborgarsvaedi 25-64 ara";"Haskolamenntun - ISCED 5, 6";14600;14600;15200;16700;19100;20200;19200;17500;18200;17900;18800
"Karlar";"Hofudborgarsvaedi 25-64 ara";"Upplysingar vantar";400;200;300;300;300;100;100;0;0;0;100
"Karlar";"Utan hofudborgarsvaedis 25-64 ara";"Alls";26600;27700;27900;28700;28900;29100;30200;30200;29500;29700;30000
"Karlar";"Utan hofudborgarsvaedis 25-64 ara";"Grunnmenntun - ISCED 1, 2";10300;10600;10300;11600;11600;11300;11900;11300;10300;10100;9900
"Karlar";"Utan hofudborgarsvaedis 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";12600;12700;12900;12600;12800;13500;13000;13900;14600;14100;14500
"Karlar";"Utan hofudborgarsvaedis 25-64 ara";"Haskolamenntun - ISCED 5, 6";3600;4300;4600;4400;4300;4300;5300;5100;4600;5500;5600
"Karlar";"Utan hofudborgarsvaedis 25-64 ara";"Upplysingar vantar";100;100;100;100;100;0;100;0;0;100;100
"Konur";"16 til 74 ara";"Alls";98300;99400;99900;102000;105000;107600;109400;110600;111100;110700;112400
"Konur";"16 til 74 ara";"Grunnmenntun - ISCED 1, 2";45800;46900;44600;43300;44200;45900;45000;45500;45700;44200;42700
"Konur";"16 til 74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";29400;29600;30400;31600;33300;32700;33600;33400;32000;31200;33000
"Konur";"16 til 74 ara";"Haskolamenntun - ISCED 5, 6";22400;22300;24300;26600;27100;28900;30700;31800;33400;35100;36600
"Konur";"16 til 74 ara";"Upplysingar vantar";700;600;500;500;400;200;100;0;100;100;100
"Konur";"25 til 64 ara";"Alls";71000;72100;72800;74600;76900;78700;79800;80500;80600;80100;81100
